Causas (lista reducida);Sexo;Provincia de residencia;Total
001-102 I-XXII.Todas las causas;Hombres;Sevilla;8.844
001-102 I-XXII.Todas las causas;Hombres;Soria;637
001-102 I-XXII.Todas las causas;Hombres;Tarragona;4.053
001-102 I-XXII.Todas las causas;Hombres;Teruel;998
001-102 I-XXII.Todas las causas;Hombres;Toledo;3.211
001-102 I-XXII.Todas las causas;Hombres;Valencia/Valncia;12.955
001-102 I-XXII.Todas las causas;Hombres;Valladolid;2.765
001-102 I-XXII.Todas las causas;Hombres;Zamora;1.419
001-102 I-XXII.Todas las causas;Hombres;Zaragoza;5.318
001-102 I-XXII.Todas las causas;Hombres;Ceuta;300
001-102 I-XXII.Todas las causas;Hombres;Melilla;246
001-102 I-XXII.Todas las causas;Hombres;Extranjero;1.681
001-102 I-XXII.Todas las causas;Mujeres;Total;230.055
001-102 I-XXII.Todas las causas;Mujeres;Albacete;1.903
001-102 I-XXII.Todas las causas;Mujeres;Alicante/Alacant;8.404
001-102 I-XXII.Todas las causas;Mujeres;Almería;2.838
001-102 I-XXII.Todas las causas;Mujeres;Araba/Alava;1.590
001-102 I-XXII.Todas las causas;Mujeres;Asturias;7.171
001-102 I-XXII.Todas las causas;Mujeres;Avila;1.088
001-102 I-XXII.Todas las causas;Mujeres;Badajoz;3.628
001-102 I-XXII.Todas las causas;Mujeres;Balears, Illes;4.453
001-102 I-XXII.Todas las causas;Mujeres;Barcelona;25.799
001-102 I-XXII.Todas las causas;Mujeres;Bizkaia;6.801
001-102 I-XXII.Todas las causas;Mujeres;Burgos;2.066
001-102 I-XXII.Todas las causas;Mujeres;Cáceres;2.480
001-102 I-XXII.Todas las causas;Mujeres;Cádiz;5.441
001-102 I-XXII.Todas las causas;Mujeres;Cantabria;3.466
001-102 I-XXII.Todas las causas;Mujeres;Castellón/Castelló;2.737
001-102 I-XXII.Todas las causas;Mujeres;Ciudad Real;2.711
001-102 I-XXII.Todas las causas;Mujeres;Córdoba;4.284
001-102 I-XXII.Todas las causas;Mujeres;Coruña, A;7.030
001-102 I-XXII.Todas las causas;Mujeres;Cuenca;1.283
001-102 I-XXII.Todas las causas;Mujeres;Gipuzkoa;3.942
001-102 I-XXII.Todas las causas;Mujeres;Girona;3.418
001-102 I-XXII.Todas las causas;Mujeres;Granada;4.264
001-102 I-XXII.Todas las causas;Mujeres;Guadalajara;1.194
001-102 I-XXII.Todas las causas;Mujeres;Huelva;2.325
001-102 I-XXII.Todas las causas;Mujeres;Huesca;1.337
001-102 I-XXII.Todas las causas;Mujeres;Jaén;3.602
001-102 I-XXII.Todas las causas;Mujeres;León;3.328
001-102 I-XXII.Todas las causas;Mujeres;Lleida;2.228
001-102 I-XXII.Todas las causas;Mujeres;Lugo;2.782
001-102 I-XXII.Todas las causas;Mujeres;Madrid;26.248
001-102 I-XXII.Todas las causas;Mujeres;Málaga;7.086
001-102 I-XXII.Todas las causas;Mujeres;Murcia;6.372
001-102 I-XXII.Todas las causas;Mujeres;Navarra;3.093
001-102 I-XXII.Todas las causas;Mujeres;Ourense;2.512
001-102 I-XXII.Todas las causas;Mujeres;Palencia;1.107
001-102 I-XXII.Todas las causas;Mujeres;Palmas, Las;4.371
001-102 I-XXII.Todas las causas;Mujeres;Pontevedra;5.486
001-102 I-XXII.Todas las causas;Mujeres;Rioja, La;1.709
001-102 I-XXII.Todas las causas;Mujeres;Salamanca;2.220
001-102 I-XXII.Todas las causas;Mujeres;Santa Cruz de Tenerife;4.465
001-102 I-XXII.Todas las causas;Mujeres;Segovia;883
001-102 I-XXII.Todas las causas;Mujeres;Sevilla;8.671
001-102 I-XXII.Todas las causas;Mujeres;Soria;598
001-102 I-XXII.Todas las causas;Mujeres;Tarragona;3.866
001-102 I-XXII.Todas las causas;Mujeres;Teruel;880
001-102 I-XXII.Todas las causas;Mujeres;Toledo;3.029
001-102 I-XXII.Todas las causas;Mujeres;Valencia/Valncia;13.000
001-102 I-XXII.Todas las causas;Mujeres;Valladolid;2.685
001-102 I-XXII.Todas las causas;Mujeres;Zamora;1.400
001-102 I-XXII.Todas las causas;Mujeres;Zaragoza;5.446
001-102 I-XXII.Todas las causas;Mujeres;Ceuta;315
001-102 I-XXII.Todas las causas;Mujeres;Melilla;238
001-102 I-XXII.Todas las causas;Mujeres;Extranjero;782
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Total;38.589
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Albacete;345
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Alicante/Alacant;1.227
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Almería;541
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Araba/Alava;273
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Asturias;1.534
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Avila;246
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Badajoz;605
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Balears, Illes;720
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Barcelona;4.430
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Bizkaia;1.128
