Nacional;Comunidades y Ciudades Autónomas;Causas (lista reducida);Edad;Sexo;Total
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 50 a 54 años;Mujeres;4
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 55 a 59 años;Hombres;3
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 55 a 59 años;Mujeres;6
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 60 a 64 años;Hombres;4
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 60 a 64 años;Mujeres;3
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 65 a 69 años;Hombres;11
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 65 a 69 años;Mujeres;8
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 70 a 74 años;Hombres;12
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 70 a 74 años;Mujeres;22
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 75 a 79 años;Hombres;25
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 75 a 79 años;Mujeres;40
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 80 a 84 años;Hombres;54
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 80 a 84 años;Mujeres;82
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 85 a 89 años;Hombres;67
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 85 a 89 años;Mujeres;130
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 90 a 94 años;Hombres;49
